,Unnamed: 0,Cantidad de características,Caracteristicas modelo,Puntaje (Sales_rmspe),Num_Corrida
65,8,42,"['Close_bool_bw', 'Assortment', 'CompetitionOpenSinceYear', 'DayOfWeek', 'StateHoliday_bool_fw', 'State', 'SchoolHoliday', 'Year', 'Week', 'Promo_bw', 'Promo_fw', 'SchoolHoliday_bw', 'StoreType', 'Promo2Weeks', 'Events', 'Day', 'Month', 'Close_bool_fw', 'CompetitionMonthsOpen', 'StateHoliday', 'Promo', 'Promo2', 'PromoInterval', 'Promo2SinceWeek', 'StateHoliday_bool_bw', 'Store', 'Promo2SinceYear', 'AfterSchoolHoliday', 'Mean_TemperatureC', 'AfterStateHoliday_bool', 'AfterPromo', 'Max_TemperatureC', 'Mean_Humidity', 'BeforeStateHoliday_bool', 'Max_Wind_SpeedKm_h', 'trend', 'CompetitionDistance', 'AfterClose_bool', 'trend_DE', 'Precipitationmm', 'CloudCover', 'Min_TemperatureC']",0.1321597844362259,4
94,1,40,"['CompetitionOpenSinceYear', 'Day', 'StateHoliday_bool_bw', 'Promo2', 'StateHoliday_bool_fw', 'PromoInterval', 'Month', 'Promo2SinceYear', 'Close_bool_bw', 'Week', 'Promo2SinceWeek', 'Events', 'StateHoliday', 'State', 'Year', 'CompetitionMonthsOpen', 'Promo2Weeks', 'Promo_bw', 'Promo_fw', 'SchoolHoliday_fw', 'DayOfWeek', 'Store', 'SchoolHoliday_bw', 'Min_TemperatureC', 'CloudCover', 'AfterPromo', 'Mean_TemperatureC', 'Max_Wind_SpeedKm_h', 'BeforeSchoolHoliday', 'StateHoliday_bool', 'AfterSchoolHoliday', 'Min_Humidity', 'AfterClose_bool', 'trend_DE', 'BeforeStateHoliday_bool', 'Max_Humidity', 'CompetitionDistance', 'Max_TemperatureC', 'BeforePromo', 'trend']",0.13382351398468018,8
133,4,32,"['CompetitionMonthsOpen', 'CompetitionOpenSinceYear', 'Assortment', 'DayOfWeek', 'Year', 'SchoolHoliday', 'Week', 'StateHoliday_bool_bw', 'Promo', 'Month', 'Promo2SinceWeek', 'SchoolHoliday_bw', 'Store', 'StateHoliday', 'Promo2', 'Events', 'Day', 'StateHoliday_bool_fw', 'State', 'Promo2Weeks', 'Mean_TemperatureC', 'BeforeSchoolHoliday', 'AfterSchoolHoliday', 'BeforeStateHoliday_bool', 'Precipitationmm', 'AfterStateHoliday_bool', 'Max_TemperatureC', 'trend_DE', 'Min_Humidity', 'CloudCover', 'CompetitionDistance', 'Mean_Wind_SpeedKm_h']",0.13445591926574707,12
128,8,43,"['StateHoliday_bool_bw', 'Store', 'Close_bool_bw', 'Promo2SinceYear', 'Promo_fw', 'StoreType', 'CompetitionOpenSinceYear', 'Day', 'SchoolHoliday_fw', 'PromoInterval', 'SchoolHoliday_bw', 'SchoolHoliday', 'Week', 'Promo_bw', 'Events', 'Promo2Weeks', 'Month', 'StateHoliday_bool_fw', 'Promo2', 'Year', 'DayOfWeek', 'Promo', 'CompetitionMonthsOpen', 'StateHoliday', 'State', 'CompetitionDistance', 'AfterStateHoliday_bool', 'BeforePromo', 'Precipitationmm', 'Mean_TemperatureC', 'Max_TemperatureC', 'AfterClose_bool', 'BeforeSchoolHoliday', 'Mean_Humidity', 'AfterPromo', 'Max_Wind_SpeedKm_h', 'Mean_Wind_SpeedKm_h', 'Min_TemperatureC', 'StateHoliday_bool', 'Max_Humidity', 'BeforeStateHoliday_bool', 'trend', 'trend_DE']",0.13507823646068573,11
55,7,42,"['Assortment', 'State', 'Promo_fw', 'CompetitionOpenSinceYear', 'Promo2SinceYear', 'Store', 'StateHoliday_bool_bw', 'SchoolHoliday', 'StateHoliday', 'CompetitionMonthsOpen', 'Promo_bw', 'Events', 'StoreType', 'DayOfWeek', 'Close_bool_fw', 'Week', 'StateHoliday_bool_fw', 'Promo2', 'Promo2Weeks', 'Day', 'PromoInterval', 'Close_bool_bw', 'Month', 'Year', 'trend_DE', 'Min_TemperatureC', 'CompetitionDistance', 'Precipitationmm', 'BeforeStateHoliday_bool', 'StateHoliday_bool', 'Mean_TemperatureC', 'AfterStateHoliday_bool', 'Max_Wind_SpeedKm_h', 'Min_Humidity', 'BeforePromo', 'CloudCover', 'Mean_Humidity', 'BeforeSchoolHoliday', 'Mean_Wind_SpeedKm_h', 'BeforeClose_bool', 'Max_Humidity', 'AfterSchoolHoliday']",0.1359710544347763,3
134,5,34,"['CompetitionMonthsOpen', 'CompetitionOpenSinceYear', 'Assortment', 'DayOfWeek', 'Year', 'SchoolHoliday', 'Week', 'StateHoliday_bool_bw', 'Promo', 'Month', 'Promo2SinceWeek', 'SchoolHoliday_bw', 'Store', 'StateHoliday', 'Promo2', 'Events', 'Day', 'StateHoliday_bool_fw', 'State', 'Promo2Weeks', 'Max_Humidity', 'AfterPromo', 'BeforeSchoolHoliday', 'CompetitionDistance', 'StateHoliday_bool', 'Mean_Wind_SpeedKm_h', 'trend', 'Mean_Humidity', 'Max_TemperatureC', 'Precipitationmm', 'AfterClose_bool', 'BeforePromo', 'trend_DE', 'Max_Wind_SpeedKm_h']",0.13627439737319946,12
77,2,39,"['Week', 'Promo_bw', 'Events', 'Close_bool_fw', 'Month', 'CompetitionOpenSinceYear', 'Promo', 'SchoolHoliday_fw', 'Close_bool_bw', 'StateHoliday', 'Promo2Weeks', 'Store', 'SchoolHoliday_bw', 'Promo_fw', 'StateHoliday_bool_bw', 'CompetitionMonthsOpen', 'Day', 'StoreType', 'Year', 'StateHoliday_bool_fw', 'PromoInterval', 'Assortment', 'Promo2SinceYear', 'Min_Humidity', 'StateHoliday_bool', 'Mean_Wind_SpeedKm_h', 'Max_TemperatureC', 'AfterStateHoliday_bool', 'trend_DE', 'CompetitionDistance', 'BeforePromo', 'AfterPromo', 'AfterSchoolHoliday', 'BeforeStateHoliday_bool', 'BeforeClose_bool', 'Max_Humidity', 'AfterClose_bool', 'CloudCover', 'trend']",0.13637101650238034,6
47,8,45,"['Year', 'PromoInterval', 'Promo', 'Week', 'StateHoliday', 'Promo_fw', 'StateHoliday_bool_bw', 'Promo_bw', 'Close_bool_bw', 'Month', 'Promo2SinceYear', 'DayOfWeek', 'Close_bool_fw', 'Assortment', 'SchoolHoliday', 'SchoolHoliday_bw', 'State', 'Promo2SinceWeek', 'Day', 'Events', 'Promo2Weeks', 'CompetitionOpenSinceYear', 'StoreType', 'StateHoliday_bool_fw', 'Store', 'Promo2', 'AfterSchoolHoliday', 'BeforePromo', 'Mean_Wind_SpeedKm_h', 'BeforeSchoolHoliday', 'BeforeStateHoliday_bool', 'trend_DE', 'Mean_Humidity', 'Max_Humidity', 'Max_TemperatureC', 'Precipitationmm', 'trend', 'AfterPromo', 'Mean_TemperatureC', 'Min_Humidity', 'Min_TemperatureC', 'Max_Wind_SpeedKm_h', 'BeforeClose_bool', 'CompetitionDistance', 'AfterStateHoliday_bool']",0.1373460441827774,2
35,5,37,"['Promo2Weeks', 'StateHoliday_bool_fw', 'Close_bool_fw', 'StateHoliday_bool_bw', 'Day', 'Promo_fw', 'Store', 'Events', 'SchoolHoliday_fw', 'Year', 'DayOfWeek', 'SchoolHoliday', 'Promo2SinceWeek', 'Promo2', 'PromoInterval', 'StateHoliday', 'Week', 'StoreType', 'Close_bool_bw', 'Month', 'CompetitionOpenSinceYear', 'SchoolHoliday_bw', 'Promo_bw', 'Precipitationmm', 'Max_Wind_SpeedKm_h', 'Max_Humidity', 'AfterPromo', 'Min_TemperatureC', 'Mean_TemperatureC', 'AfterStateHoliday_bool', 'Max_TemperatureC', 'CompetitionDistance', 'trend', 'Min_Humidity', 'AfterSchoolHoliday', 'trend_DE', 'BeforeStateHoliday_bool']",0.1375363916158676,1
34,4,39,"['Promo2Weeks', 'StateHoliday_bool_fw', 'Close_bool_fw', 'StateHoliday_bool_bw', 'Day', 'Promo_fw', 'Store', 'Events', 'SchoolHoliday_fw', 'Year', 'DayOfWeek', 'SchoolHoliday', 'Promo2SinceWeek', 'Promo2', 'PromoInterval', 'StateHoliday', 'Week', 'StoreType', 'Close_bool_bw', 'Month', 'CompetitionOpenSinceYear', 'SchoolHoliday_bw', 'Promo_bw', 'Mean_Wind_SpeedKm_h', 'AfterStateHoliday_bool', 'CloudCover', 'Mean_Humidity', 'trend', 'Min_Humidity', 'StateHoliday_bool', 'Max_TemperatureC', 'Min_TemperatureC', 'BeforeStateHoliday_bool', 'AfterPromo', 'trend_DE', 'AfterClose_bool', 'AfterSchoolHoliday', 'BeforeClose_bool', 'BeforePromo']",0.13772861659526825,1
125,5,43,"['CompetitionMonthsOpen', 'Week', 'StateHoliday', 'PromoInterval', 'StateHoliday_bool_fw', 'Promo_bw', 'Close_bool_fw', 'StoreType', 'DayOfWeek', 'Promo2', 'Close_bool_bw', 'SchoolHoliday_fw', 'Promo_fw', 'Promo2SinceWeek', 'Day', 'Events', 'Promo2Weeks', 'SchoolHoliday', 'SchoolHoliday_bw', 'State', 'CompetitionOpenSinceYear', 'Store', 'Promo', 'Month', 'Year', 'CompetitionDistance', 'AfterStateHoliday_bool', 'BeforePromo', 'Precipitationmm', 'Mean_TemperatureC', 'Max_TemperatureC', 'AfterClose_bool', 'BeforeSchoolHoliday', 'Mean_Humidity', 'AfterPromo', 'Max_Wind_SpeedKm_h', 'Mean_Wind_SpeedKm_h', 'Min_TemperatureC', 'StateHoliday_bool', 'Max_Humidity', 'BeforeStateHoliday_bool', 'trend', 'trend_DE']",0.1381370574235916,11
104,2,39,"['Year', 'Store', 'Promo_fw', 'Assortment', 'StateHoliday', 'Close_bool_bw', 'Promo2SinceWeek', 'StateHoliday_bool_bw', 'Promo_bw', 'PromoInterval', 'Promo2SinceYear', 'State', 'Month', 'StateHoliday_bool_fw', 'SchoolHoliday', 'SchoolHoliday_fw', 'CompetitionOpenSinceYear', 'Close_bool_fw', 'DayOfWeek', 'trend_DE', 'Precipitationmm', 'CloudCover', 'AfterSchoolHoliday', 'BeforeSchoolHoliday', 'trend', 'AfterStateHoliday_bool', 'AfterClose_bool', 'Max_Wind_SpeedKm_h', 'Mean_Humidity', 'Max_TemperatureC', 'BeforePromo', 'Min_Humidity', 'Mean_Wind_SpeedKm_h', 'BeforeStateHoliday_bool', 'StateHoliday_bool', 'CompetitionDistance', 'AfterPromo', 'BeforeClose_bool', 'Min_TemperatureC']",0.1383260041475296,9
91,7,34,"['Week', 'Close_bool_bw', 'PromoInterval', 'Day', 'SchoolHoliday', 'Promo2Weeks', 'SchoolHoliday_bw', 'StoreType', 'Store', 'SchoolHoliday_fw', 'Year', 'StateHoliday', 'Promo2', 'Promo2SinceWeek', 'State', 'Promo_fw', 'StateHoliday_bool_bw', 'DayOfWeek', 'Assortment', 'CompetitionOpenSinceYear', 'Promo', 'Events', 'Mean_Wind_SpeedKm_h', 'BeforeClose_bool', 'CompetitionDistance', 'Max_Wind_SpeedKm_h', 'CloudCover', 'Precipitationmm', 'AfterStateHoliday_bool', 'Mean_Humidity', 'trend_DE', 'Max_TemperatureC', 'Min_Humidity', 'Min_TemperatureC']",0.138652041554451,7
64,7,37,"['Close_bool_bw', 'Assortment', 'CompetitionOpenSinceYear', 'DayOfWeek', 'StateHoliday_bool_fw', 'State', 'SchoolHoliday', 'Year', 'Week', 'Promo_bw', 'Promo_fw', 'SchoolHoliday_bw', 'StoreType', 'Promo2Weeks', 'Events', 'Day', 'Month', 'Close_bool_fw', 'CompetitionMonthsOpen', 'StateHoliday', 'Promo', 'Promo2', 'PromoInterval', 'Promo2SinceWeek', 'StateHoliday_bool_bw', 'Store', 'Promo2SinceYear', 'AfterClose_bool', 'trend_DE', 'BeforePromo', 'Min_TemperatureC', 'Min_Humidity', 'trend', 'Max_Wind_SpeedKm_h', 'Mean_Wind_SpeedKm_h', 'CompetitionDistance', 'BeforeClose_bool']",0.13883940875530246,4
18,18,36,"['Promo2Weeks', 'Week', 'CompetitionMonthsOpen', 'Store', 'Close_bool_bw', 'Events', 'Assortment', 'CompetitionOpenSinceYear', 'SchoolHoliday', 'Promo_bw', 'Promo', 'Year', 'Day', 'StateHoliday_bool_bw', 'StoreType', 'Close_bool_fw', 'StateHoliday', 'State', 'Promo2SinceWeek', 'Promo_fw', 'Month', 'Promo2', 'Promo2SinceYear', 'SchoolHoliday_fw', 'PromoInterval', 'StateHoliday_bool_fw', 'Precipitationmm', 'Min_Humidity', 'Max_Wind_SpeedKm_h', 'CloudCover', 'CompetitionDistance', 'BeforePromo', 'BeforeStateHoliday_bool', 'BeforeClose_bool', 'AfterPromo', 'Min_TemperatureC']",0.13884563744068146,0
19,19,44,"['Promo2Weeks', 'Week', 'CompetitionMonthsOpen', 'Store', 'Close_bool_bw', 'Events', 'Assortment', 'CompetitionOpenSinceYear', 'SchoolHoliday', 'Promo_bw', 'Promo', 'Year', 'Day', 'StateHoliday_bool_bw', 'StoreType', 'Close_bool_fw', 'StateHoliday', 'State', 'Promo2SinceWeek', 'Promo_fw', 'Month', 'Promo2', 'Promo2SinceYear', 'SchoolHoliday_fw', 'PromoInterval', 'StateHoliday_bool_fw', 'Precipitationmm', 'AfterPromo', 'AfterStateHoliday_bool', 'Min_TemperatureC', 'Max_Humidity', 'trend_DE', 'BeforePromo', 'Mean_Humidity', 'Min_Humidity', 'CloudCover', 'Max_Wind_SpeedKm_h', 'Mean_Wind_SpeedKm_h', 'AfterSchoolHoliday', 'BeforeStateHoliday_bool', 'BeforeClose_bool', 'trend', 'StateHoliday_bool', 'Max_TemperatureC']",0.13932077586650848,0
44,5,38,"['StateHoliday_bool_bw', 'PromoInterval', 'CompetitionMonthsOpen', 'Promo2SinceWeek', 'State', 'Promo_bw', 'SchoolHoliday_fw', 'Store', 'Week', 'Close_bool_bw', 'Promo2SinceYear', 'CompetitionOpenSinceYear', 'Day', 'Promo2', 'SchoolHoliday', 'DayOfWeek', 'Promo_fw', 'StateHoliday_bool_fw', 'StateHoliday', 'AfterSchoolHoliday', 'BeforePromo', 'Mean_Wind_SpeedKm_h', 'BeforeSchoolHoliday', 'BeforeStateHoliday_bool', 'trend_DE', 'Mean_Humidity', 'Max_Humidity', 'Max_TemperatureC', 'Precipitationmm', 'trend', 'AfterPromo', 'Mean_TemperatureC', 'Min_Humidity', 'Min_TemperatureC', 'Max_Wind_SpeedKm_h', 'BeforeClose_bool', 'CompetitionDistance', 'AfterStateHoliday_bool']",0.14099274575710294,2
95,2,43,"['CompetitionOpenSinceYear', 'Day', 'StateHoliday_bool_bw', 'Promo2', 'StateHoliday_bool_fw', 'PromoInterval', 'Month', 'Promo2SinceYear', 'Close_bool_bw', 'Week', 'Promo2SinceWeek', 'Events', 'StateHoliday', 'State', 'Year', 'CompetitionMonthsOpen', 'Promo2Weeks', 'Promo_bw', 'Promo_fw', 'SchoolHoliday_fw', 'DayOfWeek', 'Store', 'SchoolHoliday_bw', 'Min_TemperatureC', 'BeforeClose_bool', 'BeforeStateHoliday_bool', 'BeforeSchoolHoliday', 'CompetitionDistance', 'trend', 'StateHoliday_bool', 'AfterSchoolHoliday', 'Precipitationmm', 'AfterPromo', 'Max_Wind_SpeedKm_h', 'Mean_Humidity', 'Min_Humidity', 'AfterStateHoliday_bool', 'BeforePromo', 'Mean_Wind_SpeedKm_h', 'trend_DE', 'Max_Humidity', 'AfterClose_bool', 'Mean_TemperatureC']",0.14186015725135806,8
71,5,29,"['CompetitionMonthsOpen', 'SchoolHoliday_bw', 'Week', 'StoreType', 'Store', 'StateHoliday_bool_fw', 'StateHoliday_bool_bw', 'Month', 'DayOfWeek', 'Promo_fw', 'StateHoliday', 'Promo2', 'Promo', 'Mean_Humidity', 'trend_DE', 'CloudCover', 'Max_Wind_SpeedKm_h', 'Mean_TemperatureC', 'trend', 'AfterPromo', 'AfterStateHoliday_bool', 'BeforeSchoolHoliday', 'Max_TemperatureC', 'Min_TemperatureC', 'BeforeStateHoliday_bool', 'CompetitionDistance', 'Min_Humidity', 'Max_Humidity', 'BeforeClose_bool']",0.1418653130531311,5
132,3,30,"['CompetitionMonthsOpen', 'CompetitionOpenSinceYear', 'Assortment', 'DayOfWeek', 'Year', 'SchoolHoliday', 'Week', 'StateHoliday_bool_bw', 'Promo', 'Month', 'Promo2SinceWeek', 'SchoolHoliday_bw', 'Store', 'StateHoliday', 'Promo2', 'Events', 'Day', 'StateHoliday_bool_fw', 'State', 'Promo2Weeks', 'CloudCover', 'AfterClose_bool', 'BeforeClose_bool', 'BeforeSchoolHoliday', 'AfterStateHoliday_bool', 'Precipitationmm', 'Mean_TemperatureC', 'BeforePromo', 'Mean_Humidity', 'AfterSchoolHoliday']",0.14190247654914856,12
11,11,40,"['Promo2Weeks', 'Week', 'CompetitionMonthsOpen', 'Store', 'Close_bool_bw', 'Events', 'Assortment', 'CompetitionOpenSinceYear', 'SchoolHoliday', 'Promo_bw', 'Promo', 'Year', 'Day', 'StateHoliday_bool_bw', 'StoreType', 'Close_bool_fw', 'StateHoliday', 'State', 'Promo2SinceWeek', 'Promo_fw', 'Month', 'Promo2', 'Promo2SinceYear', 'SchoolHoliday_fw', 'PromoInterval', 'StateHoliday_bool_fw', 'AfterClose_bool', 'BeforeSchoolHoliday', 'AfterStateHoliday_bool', 'StateHoliday_bool', 'Min_Humidity', 'CompetitionDistance', 'CloudCover', 'trend', 'AfterSchoolHoliday', 'Mean_Wind_SpeedKm_h', 'Max_Wind_SpeedKm_h', 'Mean_Humidity', 'Precipitationmm', 'Mean_TemperatureC']",0.1420779526233673,0
124,4,44,"['CompetitionMonthsOpen', 'Week', 'StateHoliday', 'PromoInterval', 'StateHoliday_bool_fw', 'Promo_bw', 'Close_bool_fw', 'StoreType', 'DayOfWeek', 'Promo2', 'Close_bool_bw', 'SchoolHoliday_fw', 'Promo_fw', 'Promo2SinceWeek', 'Day', 'Events', 'Promo2Weeks', 'SchoolHoliday', 'SchoolHoliday_bw', 'State', 'CompetitionOpenSinceYear', 'Store', 'Promo', 'Month', 'Year', 'AfterSchoolHoliday', 'AfterStateHoliday_bool', 'BeforeSchoolHoliday', 'Mean_TemperatureC', 'Min_TemperatureC', 'Min_Humidity', 'BeforePromo', 'StateHoliday_bool', 'trend_DE', 'Max_Wind_SpeedKm_h', 'CloudCover', 'BeforeStateHoliday_bool', 'BeforeClose_bool', 'Max_TemperatureC', 'AfterPromo', 'trend', 'Precipitationmm', 'Mean_Humidity', 'Mean_Wind_SpeedKm_h']",0.14214268326759338,11
52,4,28,"['DayOfWeek', 'Month', 'StateHoliday', 'Promo_fw', 'Close_bool_bw', 'State', 'Promo2Weeks', 'Store', 'SchoolHoliday_bw', 'CompetitionMonthsOpen', 'trend_DE', 'Min_TemperatureC', 'CompetitionDistance', 'Precipitationmm', 'BeforeStateHoliday_bool', 'StateHoliday_bool', 'Mean_TemperatureC', 'AfterStateHoliday_bool', 'Max_Wind_SpeedKm_h', 'Min_Humidity', 'BeforePromo', 'CloudCover', 'Mean_Humidity', 'BeforeSchoolHoliday', 'Mean_Wind_SpeedKm_h', 'BeforeClose_bool', 'Max_Humidity', 'AfterSchoolHoliday']",0.14229202270507812,3
63,6,42,"['Close_bool_bw', 'Assortment', 'CompetitionOpenSinceYear', 'DayOfWeek', 'StateHoliday_bool_fw', 'State', 'SchoolHoliday', 'Year', 'Week', 'Promo_bw', 'Promo_fw', 'SchoolHoliday_bw', 'StoreType', 'Promo2Weeks', 'Events', 'Day', 'Month', 'Close_bool_fw', 'CompetitionMonthsOpen', 'StateHoliday', 'Promo', 'Promo2', 'PromoInterval', 'Promo2SinceWeek', 'StateHoliday_bool_bw', 'Store', 'Promo2SinceYear', 'Max_TemperatureC', 'trend_DE', 'Mean_TemperatureC', 'AfterPromo', 'CompetitionDistance', 'StateHoliday_bool', 'Max_Wind_SpeedKm_h', 'Max_Humidity', 'Mean_Wind_SpeedKm_h', 'trend', 'BeforeSchoolHoliday', 'AfterClose_bool', 'BeforePromo', 'Precipitationmm', 'BeforeClose_bool']",0.14253118634223938,4
16,16,38,"['Promo2Weeks', 'Week', 'CompetitionMonthsOpen', 'Store', 'Close_bool_bw', 'Events', 'Assortment', 'CompetitionOpenSinceYear', 'SchoolHoliday', 'Promo_bw', 'Promo', 'Year', 'Day', 'StateHoliday_bool_bw', 'StoreType', 'Close_bool_fw', 'StateHoliday', 'State', 'Promo2SinceWeek', 'Promo_fw', 'Month', 'Promo2', 'Promo2SinceYear', 'SchoolHoliday_fw', 'PromoInterval', 'StateHoliday_bool_fw', 'Min_TemperatureC', 'Mean_Wind_SpeedKm_h', 'AfterStateHoliday_bool', 'Mean_Humidity', 'AfterPromo', 'Max_Wind_SpeedKm_h', 'Mean_TemperatureC', 'StateHoliday_bool', 'AfterSchoolHoliday', 'CloudCover', 'BeforeSchoolHoliday', 'Max_Humidity']",0.14276985824108124,0
